OPEN and ALL Service Divisions,,,,,,,
MAXIMUM SCORE = 400,,,,,,,
Raw Cisco Quiz of 30 = 30 ,,,,,Total Cisco Score = 100,,
Packet Tracer Score =70 Weighted,,,,,Total CCS Image Score = 300,,
Team #,Division / Category,Location,Tier,Round Network Security (Images),Round Cisco Networking ,Cumulative,Advancement
12-0004,Open,TX,Gold,104,49.32,153.32,Does Not Advance
12-0005,Open,TX,Gold,92,38.5,130.5,Does Not Advance
12-0006,Open,TX,Gold,62,55.13,117.13,Does Not Advance
12-0007,Open,TX,Silver,99,83.15,182.15,Advances to Semifinals
12-0008,Open,TX,Gold,114,16.5,130.5,Does Not Advance
12-0009,Open,OH,Platinum,177,67.13,244.13,Does Not Advance
12-0011,Open,OH,Silver,90,43.2,133.2,Advances to Semifinals
12-0012,Open,OH,Platinum,256,92.03,348.03,Advances to Semifinals
12-0013,Open,MD,Gold,84,0,84,Does Not Advance
12-0015,Open,ME,Platinum,213,57.82,270.82,Advances to Semifinals
12-0019,Civil Air Patrol,FL,Platinum,94,37.64,131.64,Does Not Advance
12-0023,Open,CO,Platinum,230,77.89,307.89,Advances to Semifinals
12-0024,Open,CO,Platinum,97,39.36,136.36,Does Not Advance
12-0025,Open,CO,Gold,93,59.84,152.84,Does Not Advance
12-0037,Open,OH,Platinum,107,57.46,164.46,Does Not Advance
12-0042,Open,TX,Gold,130,91.05,221.05,Advances to Semifinals
12-0044,Open,GA,Silver,58,24.16,82.16,Does Not Advance
12-0045,Open,IA,Platinum,230,69.51,299.51,Advances to Semifinals
12-0046,Open,IA,Gold,161,66.14,227.14,Advances to Semifinals
12-0047,Open,IA,Gold,90,50.96,140.96,Does Not Advance
12-0049,Air Force JROTC,IA,Platinum,49,41.47,90.47,Does Not Advance
12-0050,Open,SC,Platinum,162,66.36,228.36,Does Not Advance
12-0051,Civil Air Patrol,CO,Platinum,158,58.5,216.5,Advances to Semifinals
12-0052,Open,SC,Platinum,174,90.01,264.01,Advances to Semifinals
12-0053,Civil Air Patrol,CO,Platinum,79,52.42,131.42,Does Not Advance
12-0056,Open,OK,Platinum,264,57.51,321.51,Advances to Semifinals
12-0058,Civil Air Patrol,NJ,Platinum,167,86.64,253.64,Advances to Semifinals
12-0066,Civil Air Patrol,VA,Gold,113,79.25,192.25,Advances to Semifinals
12-0067,Open,IN,Gold,93,33.14,126.14,Does Not Advance
12-0068,Open,IN,Gold,157,32.64,189.64,Advances to Semifinals
12-0069,Open,IN,Gold,141,48.82,189.82,Advances to Semifinals
12-0070,Open,IN,Platinum,152,40.97,192.97,Does Not Advance
12-0071,Open,IN,Gold,133,34.64,167.64,Does Not Advance
12-0073,Open,WA,Platinum,119,8,127,Does Not Advance
12-0074,Open,WA,Silver,60,67.91,127.91,Advances to Semifinals
12-0075,Air Force JROTC,TX,Platinum,182,68.53,250.53,Advances to Semifinals
12-0079,Air Force JROTC,TX,Platinum,112,35.5,147.5,Does Not Advance
12-0080,Open,TX,Gold,145,43.68,188.68,Advances to Semifinals
12-0081,Air Force JROTC,LA,Gold,91,13,104,Does Not Advance
12-0082,Air Force JROTC,LA,Gold,113,3,116,Does Not Advance
12-0083,Air Force JROTC,LA,Platinum,98,38.05,136.05,Does Not Advance
12-0086,Civil Air Patrol,TN,Platinum,133,83.32,216.32,Advances to Semifinals
12-0089,Open,TN,Silver,41,79.89,120.89,Advances to Semifinals
12-0091,Open,GA,Gold,134,47.72,181.72,Does Not Advance
12-0092,Open,GA,Platinum,112,71.17,183.17,Does Not Advance
12-0094,Open,GA,Platinum,138,66.8,204.8,Does Not Advance
12-0095,Open,GA,Gold,113,61.11,174.11,Does Not Advance
12-0096,Open,AL,Platinum,158,64.18,222.18,Does Not Advance
12-0097,Open,GA,Gold,230,58.43,288.43,Advances to Semifinals
12-0098,Open,VA,Gold,110,47.22,157.22,Does Not Advance
12-0099,Open,AL,Gold,157,55.38,212.38,Advances to Semifinals
12-0101,Marine Corps JROTC,PA,Platinum,176,73.26,249.26,Advances to Semifinals
12-0103,Open,RI,Silver,49,89.39,138.39,Advances to Semifinals
12-0105,Open,WI,Platinum,187,52.68,239.68,Does Not Advance
12-0106,Open,RI,Silver,67,21.75,88.75,Does Not Advance
12-0107,Open,AL,Platinum,151,56.46,207.46,Does Not Advance
12-0108,Open,TX,Platinum,132,42.01,174.01,Does Not Advance
12-0109,Open,WI,Gold,126,50.07,176.07,Does Not Advance
12-0110,Open,TX,Gold,72,45.5,117.5,Does Not Advance
12-0111,Open,AL,Platinum,231,78.57,309.57,Advances to Semifinals
12-0112,Open,AL,Gold,112,32.22,144.22,Does Not Advance
12-0114,Open,AL,Platinum,140,72.51,212.51,Does Not Advance
12-0117,Open,AL,Platinum,208,73.86,281.86,Advances to Semifinals
12-0118,Air Force JROTC,AZ,Platinum,86,34.64,120.64,Does Not Advance
12-0119,Open,SC,Platinum,220,70.18,290.18,Advances to Semifinals
12-0121,Open,SC,Gold,133,47.25,180.25,Does Not Advance
12-0122,Open,CA,Gold,142,15,157,Does Not Advance
12-0123,Open,SC,Platinum,207,55.59,262.59,Advances to Semifinals
12-0124,Open,CA,Gold,114,44.09,158.09,Does Not Advance
12-0127,Open,CA,Platinum,175,61.43,236.43,Does Not Advance
12-0129,Open,IN,Gold,153,54.71,207.71,Advances to Semifinals
12-0130,Open,CA,Platinum,210,71.89,281.89,Advances to Semifinals
12-0132,Open,CA,Platinum,202,55.42,257.42,Advances to Semifinals
12-0133,Civil Air Patrol,MN,Platinum,217,67.25,284.25,Advances to Semifinals
12-0134,Open,IN,Gold,138,19.5,157.5,Does Not Advance
12-0136,Open,CA,Platinum,194,51.39,245.39,Does Not Advance
12-0137,Open,IN,Silver,31,14.25,45.25,Does Not Advance
12-0138,Open,CA,Platinum,Withheld,Withheld,0,Registration Action Required
12-0139,Open,IN,Gold,71,40.17,111.17,Does Not Advance
12-0140,Open,IN,Platinum,137,43.17,180.17,Does Not Advance
12-0156,Open,CA,Silver,26,65.04,91.04,Does Not Advance
12-0163,Army JROTC,OK,Silver,73,64.86,137.86,Advances to Semifinals
12-0164,Army JROTC,OK,Gold,39,41.14,80.14,Does Not Advance
12-0167,Open,SC,Gold,138,43.03,181.03,Does Not Advance
12-0168,Open,CA,Platinum,143,51.43,194.43,Does Not Advance
12-0169,Open,TN,Platinum,287,89.34,376.34,Advances to Semifinals
12-0170,Open,SC,Gold,126,44.13,170.13,Does Not Advance
12-0171,Open,CA,Gold,110,46.01,156.01,Does Not Advance
12-0172,Open,SC,Gold,127,53.82,180.82,Does Not Advance
12-0173,Open,CA,Platinum,136,58.43,194.43,Does Not Advance
12-0174,Open,CA,Platinum,143,58.96,201.96,Does Not Advance
12-0176,Open,CA,Platinum,91,34.14,125.14,Does Not Advance
12-0178,Open,CO,Platinum,136,60.76,196.76,Does Not Advance
12-0179,Open,CO,Gold,153,47.93,200.93,Advances to Semifinals
12-0180,Open,CA,Platinum,141,53.67,194.67,Does Not Advance
12-0181,Open,CA,Gold,155,55.01,210.01,Advances to Semifinals
12-0182,Open,CA,Gold,128,90.01,218.01,Advances to Semifinals
12-0183,Civil Air Patrol,NC,Silver,84,0,84,Advances to Semifinals
12-0184,Open,OK,Gold,127,60.17,187.17,Advances to Semifinals
12-0185,Open,OK,Platinum,136,59.63,195.63,Does Not Advance
12-0186,Open,OK,Silver,51,81.89,132.89,Advances to Semifinals
12-0187,Open,OK,Platinum,154,45.07,199.07,Does Not Advance
12-0188,Open,OK,Platinum,227,75.26,302.26,Advances to Semifinals
12-0192,Civil Air Patrol,MT,Gold,42,0,42,Does Not Advance
12-0193,Open,IL,Gold,114,35.14,149.14,Does Not Advance
12-0194,Open,IL,Gold,166,41.68,207.68,Advances to Semifinals
12-0195,Open,IL,Silver,33,0,33,Does Not Advance
12-0200,Open,CA,Platinum,248,86.71,334.71,Advances to Semifinals
12-0201,Open,CA,Platinum,210,77.59,287.59,Advances to Semifinals
12-0202,Open,CA,Platinum,186,85.67,271.67,Advances to Semifinals
12-0203,Open,CA,Platinum,187,73.18,260.18,Advances to Semifinals
12-0204,Open,CA,Platinum,102,55.13,157.13,Does Not Advance
12-0205,Open,CA,Platinum,184,93.38,277.38,Advances to Semifinals
12-0206,Open,CA,Platinum,201,72.92,273.92,Advances to Semifinals
12-0208,Open,CA,Gold,166,51.8,217.8,Advances to Semifinals
12-0209,Open,CA,Gold,170,67.32,237.32,Advances to Semifinals
12-0210,Open,CA,Platinum,122,53.05,175.05,Does Not Advance
12-0211,Open,CA,Gold,131,15,146,Does Not Advance
12-0212,Open,CA,Gold,125,39.64,164.64,Does Not Advance
12-0213,Open,CA,Gold,108,69.57,177.57,Does Not Advance
12-0214,Open,CA,Gold,162,71.17,233.17,Advances to Semifinals
12-0215,Open,CA,Silver,37,47.4,84.4,Does Not Advance
12-0218,Open,CA,Gold,109,17,126,Does Not Advance
12-0219,Open,CA,Platinum,175,69.82,244.82,Does Not Advance
12-0220,Open,CA,Gold,111,23,134,Does Not Advance
12-0222,Open,MD,Platinum,153,68.47,221.47,Does Not Advance
12-0223,Open,MD,Gold,132,62.42,194.42,Advances to Semifinals
12-0224,Air Force JROTC,TX,Platinum,203,81.05,284.05,Advances to Semifinals
