,,,,,,,
ALL DIVISIONS ,,,,,,,
Middle School Round 1 Max Score=200,,,Open and All Service Round 1 Max Score = 330,,,,
Middle School Round 2 Max Score = 300,,,Open and Al Service Round 2 Max Score = 330,,,,
Middle School Round 1 and 2 Max Score = 500,,,Open and All Service Round and Round 2  Max Score = 660,,,,
,,,,,,,
Team #,Division / Category,Location,Round 1 Score,Round 2  Network Security (Images),Round 2 Cisco Networking ,Cumulative Score,Tier
12-0224,Air Force JROTC,TX,324.80,296.00,23.60,644.40,Platinum
12-0075,Air Force JROTC,TX,320.93,297.00,7.40,625.33,Platinum
12-0244,Air Force JROTC,CA,326.20,264.00,24.00,614.20,Platinum
12-4073,Air Force JROTC,AE,313.00,267.00,26.20,606.20,Platinum
12-0245,Air Force JROTC,CA,291.20,287.00,23.40,601.60,Platinum
12-1713,Air Force JROTC,MO,316.67,264.00,20.20,600.87,Platinum
12-4098,Air Force JROTC,TX,311.67,257.00,20.20,588.87,Platinum
12-5352,Air Force JROTC,TX,313.87,258.00,15.40,587.27,Platinum
12-2786,Air Force JROTC,TX,308.60,252.00,22.60,583.20,Platinum
12-5299,Air Force JROTC,TX,303.53,248.00,25.60,577.13,Platinum
12-4618,Air Force JROTC,OK,294.20,257.00,24.20,575.40,Platinum
12-1490,Air Force JROTC,TX,279.53,271.00,22.40,572.93,Platinum
12-2113,Air Force JROTC,WA,294.53,251.00,22.20,567.73,Platinum
12-4782,Air Force JROTC,MO,313.00,237.00,16.00,566.00,Platinum
12-0225,Air Force JROTC,TX,308.60,233.00,22.40,564.00,Platinum
12-6291,Air Force JROTC,HI,302.87,242.00,18.40,563.27,Platinum
12-1654,Air Force JROTC,NV,297.27,241.00,22.40,560.67,Platinum
12-3377,Air Force JROTC,AR,303.60,231.00,21.40,556.00,Platinum
12-0277,Air Force JROTC,OK,279.27,249.00,20.80,549.07,Platinum
12-0246,Air Force JROTC,CA,287.53,237.00,21.00,545.53,Platinum
12-3170,Air Force JROTC,IL,284.13,238.00,22.80,544.93,Platinum
12-0744,Air Force JROTC,AL,275.00,248.00,19.20,542.20,Platinum
12-6576,Air Force JROTC,UT,287.07,233.00,19.00,539.07,Platinum
12-0444,Air Force JROTC,CA,280.20,234.00,19.80,534.00,Platinum
12-0247,Air Force JROTC,CA,284.73,220.00,22.20,526.93,Platinum
12-2880,Air Force JROTC,WY,294.67,207.00,20.00,521.67,Platinum
12-0079,Air Force JROTC,TX,259.93,250.00,10.80,520.73,Platinum
12-1558,Air Force JROTC,LA,265.00,233.00,20.80,518.80,Platinum
12-5533,Air Force JROTC,TX,272.40,225.00,19.40,516.80,Platinum
12-0264,Air Force JROTC,GA,282.07,222.00,10.40,514.47,Platinum
12-0997,Air Force JROTC,SC,284.20,205.00,19.20,508.40,Platinum
12-5114,Air Force JROTC,KS,273.00,216.00,16.80,505.80,Platinum
12-1583,Air Force JROTC,WA,264.27,225.00,14.20,503.47,Platinum
12-4873,Air Force JROTC,WV,260.00,235.00,5.00,500.00,Platinum
12-3067,Air Force JROTC,TN,262.33,232.00,5.00,499.33,Platinum
12-2779,Air Force JROTC,IL,260.27,220.00,19.00,499.27,Platinum
12-5354,Air Force JROTC,TX,284.73,207.00,6.60,498.33,Platinum
12-3823,Air Force JROTC,TX,274.93,215.00,7.80,497.73,Platinum
12-5355,Air Force JROTC,TX,273.00,204.00,16.00,493.00,Platinum
12-4080,Air Force JROTC,AE,255.00,218.00,19.20,492.20,Platinum
12-5113,Air Force JROTC,KS,273.00,204.00,14.00,491.00,Platinum
12-4847,Air Force JROTC,TX,259.73,213.00,17.60,490.33,Platinum
12-4497,Air Force JROTC,KS,273.00,210.00,7.20,490.20,Platinum
12-0430,Air Force JROTC,NE,249.07,221.00,18.80,488.87,Platinum
12-4321,Air Force JROTC,UT,261.13,206.00,16.60,483.73,Platinum
12-1770,Air Force JROTC,TX,250.20,209.00,22.20,481.40,Platinum
12-2091,Air Force JROTC,DEU,237.67,213.00,26.60,477.27,Platinum
12-3265,Air Force JROTC,TX,263.07,208.00,6.20,477.27,Platinum
12-1492,Air Force JROTC,TX,238.53,231.00,7.00,476.53,Platinum
12-5353,Air Force JROTC,TX,259.33,205.00,10.80,475.13,Platinum
12-3344,Air Force JROTC,SC,270.40,183.00,19.80,473.20,Platinum
12-1432,Air Force JROTC,MO,269.53,183.00,20.60,473.13,Platinum
12-6423,Air Force JROTC,MO,252.00,211.00,9.80,472.80,Platinum
12-7139,Air Force JROTC,FL,222.13,229.00,21.00,472.13,Platinum
12-6422,Air Force JROTC,MO,253.00,209.00,8.80,470.80,Platinum
12-6362,Air Force JROTC,TX,235.00,223.00,12.00,470.00,Platinum
12-1655,Air Force JROTC,NV,256.33,204.00,8.00,468.33,Platinum
12-0569,Air Force JROTC,VA,247.80,220.00,0.00,467.80,Platinum
12-4842,Air Force JROTC,TX,267.00,195.00,5.00,467.00,Platinum
12-0886,Air Force JROTC,SC,266.47,196.00,4.00,466.47,Platinum
12-0538,Air Force JROTC,MS,267.47,179.00,13.00,459.47,Platinum
12-5504,Air Force JROTC,OK,269.00,183.00,7.00,459.00,Platinum
12-0580,Air Force JROTC,UT,282.67,176.00,0.00,458.67,Platinum
12-4953,Air Force JROTC,AK,256.93,184.00,15.60,456.53,Platinum
12-0417,Air Force JROTC,WA,242.33,213.00,0.00,455.33,Platinum
12-6581,Air Force JROTC,UT,255.00,199.00,0.40,454.40,Platinum
12-5691,Air Force JROTC,TN,257.67,195.00,0.00,452.67,Platinum
12-4969,Air Force JROTC,CA,226.33,216.00,7.40,449.73,Platinum
12-3171,Air Force JROTC,IL,219.80,202.00,25.80,447.60,Platinum
12-4237,Air Force JROTC,CA,257.67,188.00,0.00,445.67,Platinum
12-0049,Air Force JROTC,IA,247.27,171.00,20.60,438.87,Platinum
12-6582,Air Force JROTC,UT,235.00,202.00,0.00,437.00,Platinum
12-2789,Air Force JROTC,NE,218.33,216.00,1.00,435.33,Platinum
12-5343,Air Force JROTC,WV,218.33,210.00,4.00,432.33,Platinum
12-5045,Air Force JROTC,VA,230.93,188.00,11.20,430.13,Platinum
12-0240,Air Force JROTC,IN,236.47,182.00,11.40,429.87,Platinum
12-0747,Air Force JROTC,AL,220.33,190.00,19.40,429.73,Platinum
12-4972,Air Force JROTC,CA,218.00,207.00,4.00,429.00,Platinum
12-5485,Air Force JROTC,CO,240.47,173.00,15.20,428.67,Platinum
12-4200,Air Force JROTC,TX,238.80,178.00,11.20,428.00,Platinum
12-3694,Air Force JROTC,TX,206.00,206.00,15.00,427.00,Platinum
12-2788,Air Force JROTC,NE,251.33,164.00,11.20,426.53,Platinum
12-0276,Air Force JROTC,OK,234.40,171.00,20.80,426.20,Platinum
12-2947,Air Force JROTC,TX,229.13,180.00,16.40,425.53,Platinum
12-0397,Air Force JROTC,OK,218.73,186.00,20.00,424.73,Platinum
12-0083,Air Force JROTC,LA,234.67,185.00,4.40,424.07,Platinum
12-5344,Air Force JROTC,TX,231.00,188.00,4.00,423.00,Platinum
12-4031,Air Force JROTC,PA,232.20,182.00,7.40,421.60,Platinum
12-6616,Air Force JROTC,NC,239.07,172.00,9.60,420.67,Platinum
12-4858,Air Force JROTC,TX,247.73,164.00,8.40,420.13,Platinum
12-4916,Air Force JROTC,WV,208.67,204.00,3.00,415.67,Platinum
12-3504,Air Force JROTC,FL,224.67,179.00,10.60,414.27,Platinum
12-2737,Air Force JROTC,OH,243.20,165.00,5.00,413.20,Platinum
12-6414,Air Force JROTC,WA,210.00,201.00,0.00,411.00,Platinum
12-0118,Air Force JROTC,AZ,203.33,203.00,4.00,410.33,Platinum
12-5782,Air Force JROTC,TX,214.00,194.00,1.00,409.00,Platinum
12-0320,Air Force JROTC,MI,239.87,145.00,20.20,405.07,Gold
12-4936,Air Force JROTC,GA,232.47,148.00,20.60,401.07,Gold
12-7120,Air Force JROTC,NC,232.67,166.00,2.00,400.67,Gold
12-3154,Air Force JROTC,CA,205.67,191.00,3.00,399.67,Gold
12-2881,Air Force JROTC,WY,221.67,161.00,16.40,399.07,Gold
12-4100,Air Force JROTC,TX,208.87,180.00,8.80,397.67,Gold
